Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
02/15/2022,0.02,0.19,0.40,0.72,1.11,1.58,1.80,1.94,2.03,2.05,2.42,2.37
02/14/2022,0.03,0.25,0.43,0.76,1.13,1.58,1.80,1.90,1.98,1.98,2.35,2.29
02/11/2022,0.03,0.22,0.36,0.71,1.07,1.50,1.71,1.84,1.92,1.92,2.30,2.24
02/10/2022,0.05,0.31,0.40,0.74,1.14,1.61,1.82,1.96,2.03,2.03,2.37,2.30
02/09/2022,0.04,0.15,0.26,0.57,0.91,1.36,1.61,1.82,1.92,1.94,2.31,2.25
02/08/2022,0.03,0.14,0.25,0.59,0.91,1.35,1.59,1.81,1.93,1.96,2.31,2.25
02/07/2022,0.03,0.14,0.27,0.58,0.88,1.30,1.54,1.76,1.88,1.92,2.28,2.22
02/04/2022,0.05,0.12,0.23,0.56,0.89,1.31,1.55,1.78,1.90,1.93,2.29,2.23
02/03/2022,0.03,0.15,0.20,0.48,0.78,1.19,1.42,1.66,1.78,1.82,2.20,2.14
02/02/2022,0.04,0.10,0.19,0.45,0.76,1.16,1.38,1.60,1.74,1.78,2.17,2.11
02/01/2022,0.04,0.10,0.19,0.48,0.78,1.18,1.39,1.63,1.76,1.81,2.19,2.12
01/31/2022,0.03,0.13,0.22,0.49,0.78,1.18,1.39,1.62,1.75,1.79,2.17,2.11
01/28/2022,0.04,0.10,0.19,0.43,0.75,1.15,1.38,1.61,1.74,1.78,2.14,2.07
01/27/2022,0.04,0.14,0.20,0.43,0.75,1.18,1.43,1.66,1.78,1.81,2.17,2.09
01/26/2022,0.06,0.11,0.19,0.40,0.70,1.13,1.39,1.66,1.81,1.85,2.22,2.16
01/25/2022,0.05,0.09,0.19,0.39,0.65,1.02,1.28,1.56,1.73,1.78,2.18,2.12
01/24/2022,0.05,0.09,0.19,0.39,0.58,0.99,1.25,1.53,1.69,1.75,2.15,2.10
01/21/2022,0.05,0.08,0.17,0.35,0.58,1.01,1.28,1.54,1.70,1.75,2.13,2.07
01/20/2022,0.05,0.09,0.17,0.36,0.60,1.08,1.34,1.62,1.77,1.83,2.19,2.14
01/19/2022,0.05,0.06,0.17,0.36,0.57,1.04,1.33,1.62,1.78,1.83,2.20,2.14
01/18/2022,0.05,0.06,0.16,0.37,0.58,1.06,1.35,1.65,1.82,1.87,2.24,2.18
01/14/2022,0.05,0.05,0.13,0.30,0.51,0.99,1.26,1.55,1.72,1.78,2.18,2.12
01/13/2022,0.05,0.05,0.12,0.28,0.47,0.91,1.18,1.47,1.64,1.70,2.10,2.05
01/12/2022,0.04,0.06,0.12,0.27,0.48,0.92,1.21,1.50,1.67,1.74,2.13,2.08
01/11/2022,0.04,0.05,0.11,0.28,0.46,0.90,1.22,1.51,1.69,1.75,2.13,2.08
01/10/2022,0.05,0.06,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,2.15,2.11
01/07/2022,0.05,0.05,0.10,0.24,0.43,0.87,1.17,1.50,1.69,1.76,2.15,2.11
01/06/2022,0.04,0.05,0.10,0.23,0.45,0.88,1.15,1.47,1.66,1.73,2.12,2.09
01/05/2022,0.05,0.06,0.09,0.22,0.41,0.83,1.10,1.43,1.62,1.71,2.12,2.09
01/04/2022,0.06,0.05,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.10,2.07
01/03/2022,0.05,0.06,0.08,0.22,0.40,0.78,1.04,1.37,1.55,1.63,2.05,2.01
12/31/2021,0.06,0.05,0.06,0.19,0.39,0.73,0.97,1.26,1.44,1.52,1.94,1.90
12/30/2021,0.06,0.06,0.05,0.19,0.38,0.73,0.98,1.27,1.44,1.52,1.97,1.93
12/29/2021,0.01,0.02,0.05,0.19,0.38,0.75,0.99,1.29,1.47,1.55,2.00,1.96
12/28/2021,0.03,0.04,0.06,0.20,0.39,0.74,0.99,1.27,1.41,1.49,1.94,1.90
12/27/2021,0.04,0.05,0.06,0.21,0.33,0.76,0.98,1.26,1.41,1.48,1.92,1.88
12/23/2021,0.04,0.05,0.07,0.18,0.31,0.71,0.97,1.25,1.42,1.50,1.94,1.91
12/22/2021,0.03,0.04,0.08,0.16,0.28,0.68,0.96,1.23,1.39,1.46,1.89,1.86
12/21/2021,0.03,0.04,0.07,0.16,0.29,0.70,0.96,1.24,1.40,1.48,1.92,1.89
12/20/2021,0.03,0.05,0.07,0.16,0.27,0.65,0.91,1.17,1.34,1.43,1.90,1.85
12/17/2021,0.03,0.04,0.05,0.13,0.27,0.66,0.93,1.18,1.34,1.41,1.87,1.82
12/16/2021,0.04,0.06,0.05,0.13,0.26,0.64,0.92,1.19,1.36,1.44,1.91,1.87
12/15/2021,0.03,0.05,0.05,0.13,0.29,0.69,1.00,1.26,1.42,1.47,1.91,1.86
12/14/2021,0.02,0.05,0.05,0.13,0.26,0.67,0.98,1.23,1.39,1.44,1.87,1.82
12/13/2021,0.01,0.05,0.05,0.11,0.27,0.66,0.95,1.21,1.37,1.42,1.86,1.81
12/10/2021,0.03,0.06,0.06,0.13,0.27,0.67,0.98,1.25,1.42,1.48,1.91,1.88
12/09/2021,0.03,0.06,0.06,0.12,0.28,0.70,0.99,1.26,1.42,1.49,1.91,1.87
12/08/2021,0.04,0.05,0.07,0.13,0.29,0.68,0.99,1.27,1.44,1.52,1.93,1.87
12/07/2021,0.05,0.06,0.06,0.15,0.31,0.70,0.99,1.26,1.43,1.48,1.88,1.80
12/06/2021,0.05,0.05,0.05,0.12,0.28,0.65,0.91,1.21,1.38,1.43,1.84,1.75
12/03/2021,0.04,0.05,0.06,0.09,0.26,0.60,0.86,1.13,1.29,1.35,1.77,1.69
12/02/2021,0.05,0.05,0.05,0.09,0.27,0.63,0.90,1.21,1.38,1.44,1.87,1.76
12/01/2021,0.09,0.04,0.06,0.10,0.25,0.56,0.85,1.15,1.35,1.43,1.84,1.77
11/30/2021,0.11,0.05,0.05,0.10,0.24,0.52,0.81,1.14,1.36,1.43,1.85,1.78
11/29/2021,0.07,0.04,0.06,0.10,0.21,0.51,0.83,1.18,1.42,1.52,1.93,1.87
11/26/2021,0.11,0.04,0.06,0.10,0.20,0.50,0.81,1.16,1.40,1.48,1.89,1.83
11/24/2021,0.14,0.05,0.06,0.10,0.24,0.64,0.97,1.34,1.58,1.64,2.03,1.96
11/23/2021,0.06,0.04,0.06,0.07,0.21,0.60,0.95,1.33,1.58,1.67,2.08,2.02
11/22/2021,0.07,0.03,0.05,0.07,0.20,0.63,0.95,1.33,1.55,1.63,2.03,1.98
11/19/2021,0.11,0.04,0.05,0.06,0.18,0.52,0.86,1.22,1.45,1.54,1.95,1.91
11/18/2021,0.12,0.05,0.05,0.06,0.18,0.52,0.84,1.22,1.47,1.59,2.01,1.97
11/17/2021,0.06,0.05,0.05,0.06,0.18,0.52,0.85,1.24,1.49,1.60,2.04,2.00
11/16/2021,0.06,0.06,0.05,0.07,0.17,0.54,0.87,1.27,1.52,1.63,2.06,2.02
11/15/2021,0.06,0.06,0.05,0.06,0.18,0.53,0.87,1.26,1.51,1.63,2.05,2.01
11/12/2021,0.05,0.05,0.05,0.07,0.17,0.53,0.85,1.24,1.47,1.58,1.99,1.95
11/10/2021,0.06,0.06,0.05,0.07,0.17,0.51,0.83,1.23,1.45,1.56,1.96,1.92
11/09/2021,0.04,0.05,0.04,0.06,0.14,0.41,0.71,1.08,1.32,1.46,1.86,1.83
11/08/2021,0.04,0.06,0.06,0.07,0.16,0.45,0.75,1.13,1.38,1.51,1.91,1.89
11/05/2021,0.05,0.06,0.05,0.07,0.14,0.39,0.66,1.04,1.30,1.45,1.88,1.87
11/04/2021,0.05,0.05,0.04,0.07,0.14,0.41,0.69,1.10,1.37,1.53,1.96,1.96
11/03/2021,0.05,0.07,0.05,0.07,0.17,0.47,0.77,1.19,1.46,1.60,2.01,2.00
11/02/2021,0.05,0.06,0.05,0.07,0.15,0.46,0.73,1.15,1.42,1.56,1.97,1.96
11/01/2021,0.05,0.09,0.05,0.06,0.15,0.50,0.79,1.20,1.46,1.58,2.01,1.98
10/29/2021,0.06,0.08,0.05,0.07,0.15,0.48,0.75,1.18,1.44,1.55,1.98,1.93
10/28/2021,0.06,0.10,0.06,0.06,0.15,0.50,0.77,1.18,1.44,1.57,1.98,1.96
10/27/2021,0.06,0.07,0.06,0.07,0.12,0.50,0.77,1.16,1.41,1.54,1.93,1.95
10/26/2021,0.06,0.08,0.06,0.06,0.14,0.47,0.77,1.20,1.46,1.63,2.03,2.05
10/25/2021,0.07,0.10,0.06,0.06,0.14,0.47,0.76,1.19,1.47,1.64,2.07,2.09
10/22/2021,0.05,0.09,0.06,0.07,0.13,0.48,0.79,1.22,1.49,1.66,2.06,2.08
10/21/2021,0.06,0.08,0.06,0.06,0.12,0.45,0.78,1.23,1.52,1.68,2.10,2.13
10/20/2021,0.06,0.07,0.05,0.06,0.10,0.40,0.70,1.16,1.46,1.65,2.09,2.12
10/19/2021,0.06,0.09,0.05,0.06,0.11,0.41,0.71,1.17,1.47,1.65,2.07,2.09
10/18/2021,0.05,0.09,0.06,0.06,0.11,0.44,0.72,1.16,1.43,1.59,1.99,2.01
10/15/2021,0.04,0.08,0.05,0.06,0.12,0.41,0.70,1.13,1.42,1.59,2.02,2.05
10/14/2021,0.05,0.08,0.05,0.06,0.10,0.36,0.62,1.05,1.34,1.52,1.97,2.02
10/13/2021,0.03,0.06,0.05,0.06,0.11,0.37,0.66,1.09,1.38,1.56,2.00,2.05
10/12/2021,0.03,0.07,0.06,0.06,0.10,0.35,0.64,1.08,1.39,1.59,2.05,2.10
10/08/2021,0.02,0.07,0.05,0.07,0.09,0.32,0.59,1.05,1.39,1.61,2.11,2.16
10/07/2021,0.03,0.09,0.05,0.06,0.10,0.32,0.57,1.02,1.36,1.58,2.08,2.13
10/06/2021,0.06,0.04,0.04,0.06,0.10,0.30,0.55,0.99,1.32,1.53,2.02,2.08
10/05/2021,0.10,0.04,0.04,0.06,0.09,0.28,0.54,0.98,1.32,1.54,2.04,2.10
10/04/2021,0.09,0.04,0.04,0.06,0.09,0.27,0.52,0.95,1.27,1.49,1.99,2.05
10/01/2021,0.08,0.04,0.04,0.05,0.09,0.27,0.49,0.93,1.26,1.48,1.99,2.04
09/30/2021,0.07,0.05,0.04,0.05,0.09,0.28,0.53,0.98,1.32,1.52,2.02,2.08
09/29/2021,0.05,0.04,0.04,0.05,0.09,0.30,0.55,1.01,1.34,1.55,2.04,2.09
09/28/2021,0.07,0.04,0.04,0.06,0.09,0.31,0.55,1.02,1.34,1.54,2.02,2.07
09/27/2021,0.06,0.03,0.04,0.05,0.09,0.31,0.56,0.98,1.30,1.48,1.95,1.99
09/24/2021,0.06,0.04,0.03,0.05,0.08,0.29,0.55,0.97,1.27,1.47,1.94,1.99
09/23/2021,0.05,0.04,0.03,0.04,0.08,0.27,0.53,0.94,1.22,1.41,1.87,1.92
09/22/2021,0.04,0.04,0.03,0.05,0.08,0.25,0.48,0.86,1.13,1.32,1.78,1.84
09/21/2021,0.05,0.04,0.03,0.04,0.07,0.22,0.46,0.84,1.13,1.33,1.81,1.86
09/20/2021,0.06,0.05,0.04,0.05,0.07,0.23,0.45,0.83,1.12,1.31,1.79,1.85
09/17/2021,0.06,0.06,0.04,0.05,0.07,0.23,0.47,0.88,1.17,1.37,1.85,1.91
09/16/2021,0.06,0.06,0.04,0.05,0.07,0.23,0.46,0.84,1.13,1.34,1.83,1.88
09/15/2021,0.04,0.06,0.04,0.05,0.07,0.21,0.43,0.81,1.10,1.31,1.80,1.87
09/14/2021,0.05,0.06,0.04,0.05,0.07,0.21,0.43,0.79,1.07,1.28,1.78,1.85
09/13/2021,0.06,0.08,0.06,0.06,0.07,0.21,0.44,0.81,1.11,1.33,1.83,1.91
09/10/2021,0.06,0.06,0.05,0.06,0.08,0.23,0.45,0.82,1.12,1.35,1.86,1.94
09/09/2021,0.07,0.06,0.04,0.05,0.07,0.23,0.43,0.79,1.08,1.30,1.83,1.90
09/08/2021,0.05,0.06,0.05,0.06,0.08,0.22,0.43,0.81,1.11,1.35,1.88,1.95
09/07/2021,0.04,0.07,0.05,0.06,0.08,0.22,0.45,0.82,1.14,1.38,1.91,1.99
09/03/2021,0.04,0.07,0.05,0.05,0.08,0.21,0.42,0.78,1.09,1.33,1.87,1.94
09/02/2021,0.05,0.07,0.05,0.06,0.07,0.20,0.42,0.78,1.07,1.29,1.83,1.90
09/01/2021,0.04,0.06,0.05,0.06,0.07,0.20,0.42,0.78,1.08,1.31,1.84,1.92
08/31/2021,0.03,0.05,0.04,0.06,0.07,0.20,0.40,0.77,1.08,1.30,1.85,1.92
08/30/2021,0.04,0.07,0.05,0.05,0.08,0.20,0.40,0.77,1.07,1.29,1.82,1.90
08/27/2021,0.04,0.06,0.05,0.05,0.07,0.22,0.41,0.79,1.09,1.31,1.84,1.91
08/26/2021,0.04,0.06,0.05,0.06,0.07,0.25,0.46,0.84,1.13,1.34,1.87,1.94
08/25/2021,0.04,0.05,0.06,0.06,0.07,0.23,0.47,0.84,1.13,1.35,1.88,1.96
08/24/2021,0.03,0.05,0.05,0.05,0.06,0.24,0.44,0.80,1.08,1.29,1.83,1.91
08/23/2021,0.04,0.05,0.05,0.06,0.07,0.23,0.43,0.78,1.05,1.25,1.79,1.87
08/20/2021,0.04,0.05,0.05,0.05,0.06,0.23,0.44,0.80,1.06,1.26,1.79,1.87
08/19/2021,0.04,0.05,0.06,0.05,0.06,0.22,0.44,0.78,1.04,1.24,1.80,1.88
08/18/2021,0.03,0.05,0.07,0.05,0.07,0.23,0.43,0.79,1.06,1.27,1.84,1.91
08/17/2021,0.03,0.05,0.07,0.06,0.07,0.23,0.43,0.77,1.05,1.26,1.82,1.92
08/16/2021,0.04,0.05,0.06,0.05,0.08,0.21,0.42,0.75,1.04,1.26,1.82,1.92
08/13/2021,0.04,0.05,0.06,0.05,0.08,0.23,0.44,0.79,1.08,1.29,1.85,1.94
08/12/2021,0.05,0.06,0.06,0.06,0.09,0.23,0.46,0.83,1.13,1.36,1.92,2.03
08/11/2021,0.05,0.05,0.05,0.06,0.08,0.23,0.45,0.81,1.11,1.35,1.90,1.99
08/10/2021,0.05,0.05,0.05,0.05,0.08,0.24,0.47,0.82,1.12,1.36,1.90,1.99
08/09/2021,0.04,0.05,0.06,0.06,0.08,0.23,0.43,0.79,1.09,1.33,1.87,1.96
08/06/2021,0.04,0.05,0.06,0.06,0.09,0.21,0.42,0.77,1.07,1.31,1.85,1.94
08/05/2021,0.05,0.05,0.05,0.06,0.08,0.21,0.38,0.72,1.01,1.23,1.77,1.86
08/04/2021,0.05,0.05,0.05,0.05,0.07,0.17,0.34,0.67,0.96,1.19,1.74,1.83
08/03/2021,0.05,0.05,0.05,0.06,0.07,0.17,0.33,0.65,0.95,1.19,1.76,1.85
08/02/2021,0.05,0.05,0.05,0.06,0.07,0.17,0.33,0.66,0.96,1.20,1.77,1.86
07/30/2021,0.05,0.05,0.06,0.05,0.07,0.19,0.35,0.69,1.00,1.24,1.81,1.89
07/29/2021,0.05,0.05,0.06,0.05,0.08,0.20,0.37,0.73,1.04,1.28,1.84,1.91
07/28/2021,0.04,0.05,0.05,0.05,0.07,0.20,0.38,0.72,1.01,1.26,1.83,1.90
07/27/2021,0.04,0.05,0.05,0.05,0.07,0.20,0.37,0.71,1.01,1.25,1.81,1.89
07/26/2021,0.05,0.05,0.05,0.06,0.08,0.22,0.38,0.73,1.04,1.29,1.85,1.93
07/23/2021,0.05,0.05,0.05,0.05,0.07,0.22,0.38,0.72,1.04,1.30,1.85,1.92
07/22/2021,0.04,0.04,0.05,0.05,0.07,0.20,0.37,0.71,1.02,1.27,1.82,1.90
07/21/2021,0.04,0.04,0.05,0.05,0.07,0.22,0.39,0.74,1.05,1.30,1.87,1.94
07/20/2021,0.05,0.05,0.05,0.06,0.08,0.20,0.37,0.69,0.98,1.23,1.79,1.88
07/19/2021,0.05,0.05,0.05,0.06,0.07,0.21,0.38,0.70,0.97,1.19,1.74,1.81
07/16/2021,0.05,0.05,0.05,0.05,0.08,0.25,0.43,0.79,1.08,1.31,1.86,1.93
07/15/2021,0.05,0.05,0.05,0.05,0.07,0.23,0.43,0.78,1.07,1.31,1.85,1.92
07/14/2021,0.06,0.05,0.06,0.05,0.08,0.23,0.44,0.80,1.11,1.37,1.91,1.98
07/13/2021,0.05,0.05,0.05,0.06,0.08,0.26,0.47,0.85,1.16,1.42,1.96,2.04
07/12/2021,0.05,0.05,0.05,0.06,0.08,0.23,0.43,0.81,1.13,1.38,1.93,2.00
07/09/2021,0.06,0.05,0.06,0.05,0.08,0.23,0.41,0.79,1.12,1.37,1.91,1.99
07/08/2021,0.06,0.05,0.06,0.06,0.07,0.19,0.37,0.74,1.06,1.30,1.84,1.91
07/07/2021,0.05,0.05,0.05,0.05,0.08,0.22,0.41,0.79,1.09,1.33,1.87,1.94
07/06/2021,0.05,0.05,0.05,0.06,0.07,0.22,0.42,0.81,1.13,1.37,1.92,2.00
07/02/2021,0.05,0.05,0.05,0.05,0.08,0.24,0.45,0.86,1.19,1.44,1.98,2.05
07/01/2021,0.05,0.05,0.05,0.05,0.09,0.25,0.47,0.89,1.24,1.48,2.01,2.07
06/30/2021,0.05,0.05,0.05,0.06,0.07,0.25,0.46,0.87,1.21,1.45,2.00,2.06
06/29/2021,0.04,0.04,0.04,0.06,0.08,0.27,0.47,0.89,1.24,1.49,2.03,2.10
06/28/2021,0.04,0.05,0.05,0.06,0.08,0.25,0.47,0.90,1.25,1.49,2.04,2.10
06/25/2021,0.05,0.05,0.06,0.06,0.09,0.28,0.48,0.92,1.29,1.54,2.09,2.16
06/24/2021,0.05,0.05,0.05,0.05,0.08,0.26,0.48,0.90,1.26,1.49,2.03,2.10
06/23/2021,0.04,0.04,0.05,0.05,0.08,0.26,0.47,0.90,1.25,1.50,2.04,2.11
06/22/2021,0.04,0.05,0.04,0.06,0.09,0.25,0.44,0.87,1.23,1.48,2.03,2.10
06/21/2021,0.04,0.04,0.05,0.06,0.09,0.27,0.48,0.90,1.25,1.50,2.05,2.11
06/18/2021,0.05,0.05,0.05,0.06,0.09,0.26,0.47,0.89,1.22,1.45,1.97,2.01
06/17/2021,0.05,0.04,0.04,0.06,0.08,0.23,0.43,0.90,1.27,1.52,2.05,2.11
06/16/2021,0.04,0.04,0.04,0.06,0.08,0.21,0.41,0.89,1.29,1.57,2.13,2.20
06/15/2021,0.02,0.02,0.03,0.05,0.08,0.16,0.34,0.79,1.21,1.51,2.12,2.20
06/14/2021,0.01,0.02,0.03,0.05,0.05,0.16,0.33,0.80,1.20,1.51,2.12,2.19
06/11/2021,0.01,0.02,0.03,0.04,0.05,0.16,0.31,0.76,1.16,1.47,2.08,2.15
06/10/2021,0.01,0.02,0.03,0.04,0.05,0.14,0.30,0.73,1.14,1.45,2.07,2.15
06/09/2021,0.01,0.02,0.03,0.04,0.05,0.16,0.31,0.75,1.17,1.50,2.10,2.17
06/08/2021,0.01,0.02,0.02,0.04,0.05,0.14,0.32,0.77,1.20,1.53,2.13,2.21
06/07/2021,0.01,0.02,0.02,0.04,0.05,0.16,0.33,0.79,1.24,1.57,2.17,2.25
06/04/2021,0.01,0.02,0.02,0.04,0.05,0.14,0.32,0.78,1.23,1.56,2.16,2.24
06/03/2021,0.00,0.01,0.02,0.04,0.04,0.16,0.34,0.84,1.30,1.63,2.22,2.30
06/02/2021,0.01,0.01,0.02,0.04,0.05,0.13,0.30,0.80,1.26,1.59,2.21,2.28
06/01/2021,0.01,0.01,0.02,0.04,0.04,0.16,0.31,0.81,1.28,1.62,2.22,2.30
05/28/2021,0.01,0.01,0.01,0.03,0.05,0.14,0.30,0.79,1.24,1.58,2.18,2.26
05/27/2021,0.00,0.01,0.02,0.04,0.04,0.14,0.31,0.81,1.28,1.61,2.20,2.29
05/26/2021,0.00,0.00,0.02,0.04,0.04,0.14,0.31,0.80,1.24,1.58,2.17,2.27
05/25/2021,0.01,0.01,0.02,0.04,0.04,0.15,0.30,0.79,1.23,1.56,2.16,2.26
05/24/2021,0.01,0.01,0.02,0.03,0.04,0.15,0.32,0.82,1.28,1.61,2.22,2.31
05/21/2021,0.00,0.01,0.01,0.02,0.04,0.17,0.34,0.84,1.29,1.63,2.24,2.33
05/20/2021,0.01,0.01,0.01,0.03,0.05,0.15,0.34,0.83,1.29,1.63,2.25,2.34
05/19/2021,0.00,0.01,0.01,0.03,0.05,0.16,0.35,0.87,1.34,1.68,2.30,2.38
05/18/2021,0.00,0.01,0.02,0.03,0.06,0.16,0.34,0.83,1.29,1.64,2.27,2.37
05/17/2021,0.00,0.01,0.02,0.04,0.06,0.16,0.34,0.84,1.30,1.64,2.27,2.36
05/14/2021,0.01,0.01,0.01,0.03,0.06,0.16,0.33,0.82,1.29,1.63,2.25,2.35
05/13/2021,0.00,0.01,0.02,0.03,0.05,0.16,0.33,0.84,1.31,1.66,2.28,2.39
05/12/2021,0.01,0.02,0.02,0.04,0.05,0.16,0.35,0.87,1.34,1.69,2.29,2.40
05/11/2021,0.01,0.01,0.01,0.04,0.05,0.16,0.31,0.80,1.28,1.64,2.23,2.35
05/10/2021,0.02,0.01,0.02,0.04,0.05,0.16,0.32,0.80,1.27,1.63,2.20,2.32
05/07/2021,0.01,0.01,0.02,0.04,0.05,0.14,0.29,0.77,1.24,1.60,2.17,2.28
05/06/2021,0.01,0.02,0.02,0.04,0.05,0.16,0.32,0.81,1.25,1.58,2.14,2.24
05/05/2021,0.01,0.01,0.02,0.04,0.06,0.16,0.32,0.80,1.25,1.59,2.14,2.25
05/04/2021,0.01,0.01,0.02,0.04,0.06,0.16,0.33,0.82,1.28,1.61,2.16,2.27
05/03/2021,0.02,0.02,0.04,0.04,0.06,0.16,0.33,0.84,1.29,1.63,2.18,2.30
04/30/2021,0.01,0.02,0.01,0.03,0.05,0.16,0.35,0.86,1.32,1.65,2.19,2.30
04/29/2021,0.01,0.01,0.01,0.04,0.05,0.16,0.35,0.86,1.32,1.65,2.20,2.31
04/28/2021,0.01,0.01,0.01,0.04,0.05,0.17,0.35,0.86,1.31,1.63,2.19,2.29
04/27/2021,0.01,0.02,0.01,0.04,0.06,0.17,0.36,0.88,1.32,1.63,2.18,2.29
04/26/2021,0.02,0.02,0.03,0.04,0.06,0.18,0.35,0.85,1.27,1.58,2.13,2.24
04/23/2021,0.01,0.02,0.03,0.03,0.07,0.16,0.34,0.83,1.26,1.58,2.14,2.25
04/22/2021,0.02,0.02,0.03,0.04,0.06,0.16,0.32,0.81,1.24,1.57,2.13,2.24
04/21/2021,0.00,0.02,0.03,0.04,0.07,0.15,0.32,0.81,1.24,1.57,2.16,2.26
04/20/2021,0.01,0.02,0.03,0.04,0.07,0.15,0.31,0.81,1.25,1.58,2.16,2.27
04/19/2021,0.01,0.02,0.02,0.04,0.08,0.16,0.34,0.85,1.28,1.61,2.18,2.29
04/16/2021,0.02,0.02,0.02,0.04,0.06,0.16,0.34,0.84,1.26,1.59,2.15,2.26
04/15/2021,0.02,0.01,0.02,0.04,0.06,0.16,0.32,0.81,1.24,1.56,2.13,2.23
04/14/2021,0.02,0.02,0.02,0.04,0.06,0.16,0.35,0.87,1.31,1.64,2.22,2.32
04/13/2021,0.03,0.02,0.03,0.05,0.06,0.16,0.35,0.85,1.29,1.64,2.21,2.32
04/12/2021,0.02,0.02,0.02,0.04,0.06,0.18,0.38,0.89,1.35,1.69,2.24,2.34
