0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1419,1141,459,1454,2642,159,2595,2050,2209,352,1087,1496,2579,1544,571,1454,706,1194,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,170,2071,2178,2615,443,420,509,2209,51,992,2822,469,2715,1512,1351,2139,523,1611,2209,127,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706,1207,2209,2166,1392,2209,1264,361,610,21,2209,2039,1774,288,2714,83,2209,1107,2059,1639,1512,1845,1680,2748,1454,287,2420,1454,2209,1068,318,1236,1516,100,469,1576,1231,2629,1236,2658,581,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,2209,2206,318,2475,2544,1146,2454,409,610,1026,1487,318,2152,1178,328,726,381,2368,226,1526,610,318,2209,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,2124,2209,2371,610,455,1333,2070,318,1862,1757,2306,302,469,1269,2097,1757,1047,919,610,1332,2408,1106,1512,1455,706,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,1415,2527,1418,549,443,1236,1365,1852,1454,2209,1281,2060,1345,1026,107,684,920,991,443,2209,1281,760,2171,2209,1352,1575,1454,1708,21,500,21,2579,972,318,2209,561,181,1454,2496,318,2531,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2609,1241,2668,1288,1084,66,2280,2221,1512,1333,1757,1343,2808,328,668,2688,786,1454,1341,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,2209,2777,318,2209,2544,2209,730,1051,2714,2198,1454,2548,2209,867,1783,1816,318,2513,2052,1922,606,726,1367,2639,2714,357,1003,469,2209,320,469,1823,224,2209,784,1608,2473,2521,2047,224,2579,2398,2208,2209,867,1238,819,730,5,2748,1454,2701,2647,610,684,2800,230,1194,1454,2071,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,2209,996,546,2089,2171,2475,2160,2209,2840,726,2567,21,561,2714,293,1437,1236,107,1236,1086,2655,610,318,2579,1316,2152,509,2475,2307,1454,626,1511,1405,726,1548,2714,329,1873,2368,1748,469,1236,1044,458,469,2209,1757,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,224,2579,2398,2208,2209,730,5,2714,2800,230,1194,1454,2071,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,1105,469,1352,1575,2647,534,1047,2292,2186,2714,2160,2454,224,1757,1548,2714,920,1372,2171,1873,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,1236,2211,892,2454,2395,2714,2209,291,318,1708,476,235,200,2209,1281,2662,2474,2828,509,195,222,1454,1430,2209,2186,610,1316,1708,2724,2229,426,1524,200,2070,210,224,610,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,2454,2262,610,2209,894,1333,853,318,1757,1379,2209,2093,318,2097,2339,630,2627,1416,2209,1737,318,2209,865,1454,2209,1737,59,469,2469,469,2635,2456,567,631,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503,318,1708,211,567,1086,2383,443,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2605,1231,426,2714,690,2368,1394,805,21,2209,867,531,225,1000,554,441,1394,1785,2640,381,1269,1526,643,1231,2408,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,2209,996,2595,1095,610,2209,2222,2714,2209,546,2171,1749,807,328,567,492,2714,2209,2426,224,1236,2419,2505,2714,2209,343,2171,2209,1757,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,1004,63,610,2209,1708,67,723,2714,426,655,2249,1454,1095,610,606,726,873,2255,1037,2714,405,610,1236,455,1967,469,1708,2296,2056,2606,2714,2408,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,573,1194,2647,2209,1948,318,1387,420,2007,1454,263,2714,120,1231,2377,1775,1856,2072,1264,1004,2734,1236,1590,318,932,2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2609,1241,726,345,2714,156,1437,1236,798,1660,179,1974,1512,1269,1194,1454,381,668,2269,2040,66,604,381,1512,1837,1074,1611,2628,469,786,1454,2209,1886,2171,2340,2714,787,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,2209,345,2640,318,1576,2628,1454,2152,1178,328,509,2209,1471,1392,567,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,2067,407,1512,2722,726,266,2714,426,2335,2714,1236,1960,1627,469,1576,328,469,2209,2146,2251,318,2209,2307,455,2261,2628,469,1576,2306,1044,1166,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,811,2306,506,2368,1841,2473,2024,1979,2596,1454,2306,530,2209,1791,318,2209,473,50,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,2209,1785,179,491,443,2190,1454,2115,1734,31,944,848,2503,200,2209,1940,318,2209,1256,1014,2171,2209,1250,2472,179,726,2283,2714,2800,1179,469,2209,1250,2472,1575,1437,2640,500,1550,2209,437,1256,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,2209,2591,705,1083,2366,2209,2499,318,1608,2646,726,561,2714,203,2714,2584,610,318,2385,1512,1236,2050,525,363,2108,2714,825,2209,594,1172,2464,1712,610,2056,910,2524,2171,2209,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1236,1301,318,706,271,328,1708,1231,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2008,2209,730,63,443,1236,1396,848,2714,483,2209,1228,2365,21,469,693,2171,328,318,2209,2748,536,1454,2557,2679,1611,2209,1554,136,318,693,2714,2209,1554,136,318,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,1352,974,567,1548,2714,920,2562,1341,2171,1873,791,2209,1264,1347,1086,1467,610,1708,1231,1249,2586,1061,469,2355,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,351,318,734,1802,2571,509,2373,1454,1993,1821,1236,1516,2684,469,2579,633,2551,610,726,2132,224,1516,1128,2714,1276,119,1575,2472,1454,724,2138,318,594,791,259,2714,1090,1836,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,2507,318,16,1708,1496,2714,2408,381,1286,1083,2714,2070,2567,21,210,224,2209,2745,2208,509,2209,2255,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,1548,610,287,2473,1231,203,2714,2408,1236,658,443,581,328,509,2355,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,1548,581,1931,2714,1422,780,469,2209,1554,136,318,2535,1454,469,416,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,1599,2748,2486,1883,469,729,2209,1467,318,797,2368,287,1074,2209,866,1516,2628,469,2097,1576,1454,2209,361,86,469,218,347,1231,1824,2586,272,2714,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,2209,1387,1087,2118,2557,1455,1437,2579,326,107,514,2209,1216,1017,1821,2209,1496,501,469,615,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2441,687,1044,416,469,2209,992,2746,2438,2040,2791,1690,1454,1836,686,443,2649,1575,1769,527,469,957,1572,1062,2714,958,2070,469,429,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,978,332,1788,1454,1641,22,2781,610,581,1931,2056,1566,2368,85,1061,1526,563,1988,1454,610,1708,2296,2306,2408,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1329,2781,610,2340,2004,2724,318,1708,509,2209,626,2307,567,1086,2383,469,1123,1511,2340,2004,1454,2638,2324,2004,1394,1708,2724,2389,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,116,2209,730,315,920,2318,2594,2714,332,22,122,443,2209,760,2171,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,2080,1714,1325,2585,318,2209,1649,200,2171,2490,469,2209,321,2714,2408,2357,1437,997,1133,2674,1433,714,2386,143,2209,730,2004,2364,1753,2473,2186,2280,2209,530,610,1708,684,2795,2714,1479,21,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,730,1180,610,224,1044,2658,1850,469,2209,2412,318,2748,2473,581,1931,684,293,1437,1236,1479,107,469,2209,1471,1392,1454,1352,1575,2647,684,920,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,1810,649,469,615,2040,567,2714,1166,2611,610,2306,238,1690,443,1194,1454,2808,1763,2048,433,443,2209,271,2171,2688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,2209,1757,179,2389,2571,2714,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2677,1845,1897,318,1236,1469,469,328,469,581,1931,469,1873,2549,1454,2649,2361,1814,892,1526,535,1004,2581,2714,1630,2714,2209,86,469,2161,469,2701,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1036,2040,1496,2714,1961,1765,291,2070,469,1413,2560,509,2209,51,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,996,546,2089,2171,2475,2160,1496,2714,1459,610,2209,351,1231,1084,1479,1611,2579,631,1372,107,2714,1236,179,132,2323,1584,1236,1086,200,2209,328,318,2209,1107,2254,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,1760,1788,443,1352,1575,187,318,957,2394,1454,1174,2056,549,2537,1236,2586,428,469,1194,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2630,233,323,2769,469,833,1487,2209,2449,85,1551,469,2209,36,1189,318,2209,321,1231,502,2209,1791,318,2209,1281,742,2714,2579,1708,17,1512,2218,2714,2001,1420,2612,2714,2368,2431,1627,1708,2714,2209,2662,2474,1256,1454,1512,2392,610,2209,730,2780,1708,894,200,2662,2474,21,1047,1214,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,726,2262,610,2209,398,351,318,137,469,2386,2514,1994,1332,1899,1236,2813,469,1786,784,1236,992,318,493,328,469,1146,1127,925,1186,851,2714,889,1838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,726,2595,1548,2714,2408,381,1269,2475,2307,1526,2751,2307,569,1821,1047,1149,469,2209,2040,2171,1987,1454,1282,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2732,963,2481,2209,1264,749,346,610,802,1208,469,573,581,1931,1454,2209,1870,318,1516,2313,2296,469,429,974,630,2209,1116,318,2746,1849,567,561,469,2209,2206,318,116,2489,878,2724,318,1286,1708,2714,1479,1079,1742,2171,2071,1708,2714,2455,509,2209,2307,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,2293,1194,2615,231,1044,469,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,1209,107,318,1749,807,328,726,1548,2714,2408,1974,1512,1047,1417,469,2209,433,1611,2064,469,287,2473,775,469,1775,1454,218,347,1044,504,469,1836,18,1454,2701,2647,1454,1236,1469,469,2209,179,318,2746,581,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2461,1788,1974,1512,1641,523,1611,912,941,549,2314,2771,318,2209,2279,2262,610,2184,1720,1931,726,1995,381,2137,469,1490,133,2714,1839,775,469,2118,1785,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2454,1548,610,784,2209,43,469,2209,2146,136,1749,581,1931,1231,1199,351,1437,1236,1479,107,1454,610,1352,1575,2647,1231,672,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2369,2339,1004,723,561,443,963,2714,1259,866,328,469,1775,1241,469,978,2209,477,775,610,2056,2165,469,2209,2499,318,170,225,1454,1236,1224,18,318,1836,2714,429,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,2124,2209,1599,432,1409,1018,318,2209,1178,1454,1757,1485,1454,2209,101,318,1026,1116,443,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,2412,318,2748,2473,2280,1680,363,2351,1873,1044,102,469,1352,1575,2647,1454,1236,455,1354,2714,2662,2474,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,63,610,2209,1316,2073,1250,2472,179,726,561,668,1526,469,2209,883,469,2715,2769,318,1495,2151,610,2056,1545,1436,1510,443,1749,1785,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2454,749,577,610,2209,107,318,16,1576,328,534,279,1693,1558,1231,1886,2714,2408,491,2714,161,2463,2157,1352,2496,1454,846,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,2200,2020,2278,381,1584,1821,957,2724,318,668,2473,2640,1454,2188,2442,1475,2171,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,2209,1264,749,567,1659,610,1708,1332,1198,2714,1961,509,2209,2826,1392,2196,1810,1352,974,1555,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1497,224,1394,1785,2640,1883,1093,1286,2785,1911,549,1780,2714,2408,1236,1886,2171,1709,85,1551,1437,2475,704,2323,2541,2301,2171,85,1551,2714,1545,2048,1436,1510,443,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
